age_d,age_h,T,H_a,psi_x,Cpm,rho
15 ,17,14.8,81.8,-9.642087932,0.39153985,274.9827537
15 ,18,15.1,84.8,-7.972955678,0.292433538,274.721536
15 ,19,15.1,87.8,-6.02921,0.177021793,274.4603182
15 ,20,14.3,92.8,-3.943313953,0.053169734,274.1991004
15 ,21,13.8,92.8,-3.943313953,0.053169734,273.9378827
15 ,22,13.4,93,-3.943313953,0.053169734,273.6766649
15 ,23,13.3,93.2,-3.943313953,0.053169734,273.4154471
15 ,24,13.3,93.4,-3.943313953,0.053169734,273.1542293
16 ,1,13.3,94,-3.943313953,0.053169734,272.8930116
16 ,2,13.3,94.7,-3.943313953,0.053169734,272.6317938
16 ,3,13.5,94.7,-3.943313953,0.053169734,272.370576
16 ,4,13.5,92.4,-3.943313953,0.053169734,272.1093583
16 ,5,13.5,91.7,-3.943313953,0.053169734,271.8481405
16 ,6,13.2,91.5,-3.943313953,0.053169734,271.5869227
16 ,7,13,90.7,-3.943313953,0.053169734,271.3257049
16 ,8,13.8,85.1,-3.943313953,0.053169734,271.0644872
16 ,9,15.4,77,-6.02921,0.177021793,270.8032694
16 ,10,16.4,73.1,-7.972955678,0.292433538,270.5420516
16 ,11,16.4,72.5,-9.642087932,0.39153985,270.2808338
16 ,12,15.3,76.3,-10.92285816,0.467586799,270.0196161
16 ,13,16.2,70.2,-11.72798398,0.515391909,269.7583983
16 ,14,16.7,65.4,-12.0025974,0.531697342,269.4971805
16 ,15,17,64.3,-11.72798398,0.515391909,269.2359628
16 ,16,16.9,65.5,-10.92285816,0.467586799,268.974745
16 ,17,17.1,68.1,-9.642087932,0.39153985,268.7135272
16 ,18,16.4,68.1,-7.972955678,0.292433538,268.4523094
16 ,19,16.4,65.8,-6.02921,0.177021793,268.1910917
16 ,20,15,74.8,-3.943313953,0.053169734,267.9298739
16 ,21,14,79.6,-3.943313953,0.053169734,267.6686561
16 ,22,13.6,80.8,-3.943313953,0.053169734,267.4074384
16 ,23,13.3,82.8,-3.943313953,0.053169734,267.1462206
16 ,24,12.9,84.3,-3.943313953,0.053169734,266.8850028
17 ,1,12.5,86.9,-3.943313953,0.053169734,266.623785
17 ,2,12.2,88.4,-3.943313953,0.053169734,266.3625673
17 ,3,12.2,88.9,-3.943313953,0.053169734,266.1013495
17 ,4,12.3,88.4,-3.943313953,0.053169734,265.8401317
17 ,5,12.5,88.1,-3.943313953,0.053169734,265.578914
17 ,6,12.2,87.9,-3.943313953,0.053169734,265.3176962
17 ,7,12.3,86.2,-3.943313953,0.053169734,265.0564784
17 ,8,13.2,81.5,-3.943313953,0.053169734,264.7952606
17 ,9,14,74.8,-6.02921,0.177021793,264.5340429
17 ,10,14.9,65.3,-7.972955678,0.292433538,264.2728251
17 ,11,15.5,58.3,-9.642087932,0.39153985,264.0116073
17 ,12,16.3,58.5,-10.92285816,0.467586799,263.7503895
17 ,13,17,56.6,-11.72798398,0.515391909,263.4891718
17 ,14,17.6,56.2,-12.0025974,0.531697342,263.227954
17 ,15,17.7,57.7,-11.72798398,0.515391909,262.9667362
17 ,16,17.4,57,-10.92285816,0.467586799,262.7055185
17 ,17,16.7,57.6,-9.642087932,0.39153985,262.4443007
17 ,18,16.3,58.9,-7.972955678,0.292433538,262.1830829
17 ,19,15.3,60.9,-6.02921,0.177021793,261.9218651
17 ,20,14,64.7,-3.943313953,0.053169734,261.6606474
17 ,21,13.1,70,-3.943313953,0.053169734,261.3994296
17 ,22,12.4,74.3,-3.943313953,0.053169734,261.1382118
17 ,23,11.4,81.3,-3.943313953,0.053169734,260.8769941
17 ,24,11.1,86.8,-3.943313953,0.053169734,260.6157763
18 ,1,11.5,87,-3.943313953,0.053169734,260.3545585
18 ,2,10.6,86.3,-3.943313953,0.053169734,260.0933407
18 ,3,9.2,88,-3.943313953,0.053169734,259.832123
18 ,4,8.1,90.6,-3.943313953,0.053169734,259.5709052
18 ,5,6.8,95,-3.943313953,0.053169734,259.3096874
18 ,6,6.7,96.3,-3.943313953,0.053169734,259.0484697
18 ,7,7.3,95.3,-3.943313953,0.053169734,258.7872519
18 ,8,9.4,88.4,-3.943313953,0.053169734,258.5260341
18 ,9,12.8,76.7,-6.02921,0.177021793,258.2648163
18 ,10,15.6,65.8,-7.972955678,0.292433538,258.0035986
18 ,11,16.9,60.1,-9.642087932,0.39153985,257.7423808
18 ,12,17.5,59.5,-10.92285816,0.467586799,257.481163
18 ,13,17.6,60.3,-11.72798398,0.515391909,257.2199452
18 ,14,18.1,59.2,-12.0025974,0.531697342,256.9587275
18 ,15,18.4,57.5,-11.72798398,0.515391909,256.6975097
18 ,16,18.3,58.3,-10.92285816,0.467586799,256.4362919
18 ,17,18.2,57.7,-9.642087932,0.39153985,256.1750742
18 ,18,18,59.8,-7.972955678,0.292433538,255.9138564
18 ,19,17.5,61.2,-6.02921,0.177021793,255.6526386
18 ,20,17,67.5,-3.943313953,0.053169734,255.3914208
