station,year,day,hour,temp,rh,totalRadiation,CO2,wind,soilWater_Potential,soilWater_content,rainfall
Bordeaux,2012,207,11,31.9665,0.38825,969.5230769,400,1.1,-0.05,,
Bordeaux,2012,207,12,33.948,0.32615,2056.280769,400,1.1,-0.05,,
Bordeaux,2012,207,13,35.6465,0.2797,2104.469231,400,1.1,-0.05,,
Bordeaux,2012,207,14,34.761,0.2521,1838.713461,400,1.1,-0.05,,
Bordeaux,2012,207,15,36.584,0.23635,2006.329474,400,1.1,-0.05,,
Bordeaux,2012,207,16,36.5555,0.25285,1669.674811,400,1.1,-0.05,,
Bordeaux,2012,207,17,36.005,0.2659,725.1306192,400,1.1,-0.05,,
Bordeaux,2012,207,18,35.2785,0.2918,427.4338115,400,1.1,-0.05,,
Bordeaux,2012,207,19,32.509,0.31835,150.2450061,400,1.1,-0.05,,
Bordeaux,2012,207,20,29.8265,0.389,66.385,400,1.1,-0.05,,
Bordeaux,2012,207,21,27.76,0.47405,13.70134615,400,1.1,-0.05,,
Bordeaux,2012,207,22,26.9395,0.4991,0.251730769,400,1.1,-0.05,,
Bordeaux,2012,207,23,26.2595,0.55225,0.215769231,400,1.1,-0.05,,
Bordeaux,2012,208,0,25.367,0.6025,0,400,1.1,-0.05,,
Bordeaux,2012,208,1,24.635,0.6427,0.395576924,400,1.1,-0.05,,
Bordeaux,2012,208,2,23.9815,0.6893,5.73342,400,1.1,-0.05,,
Bordeaux,2012,208,3,23.4875,0.73675,6.983011539,400,1.1,-0.05,,
Bordeaux,2012,208,4,23.02,0.7649,6.725742692,400,1.1,-0.05,,
Bordeaux,2012,208,5,22.609,0.7759,9.629205385,400,1.1,-0.05,,
Bordeaux,2012,208,6,22.2685,0.7887,12.64292615,400,1.1,-0.05,,
Bordeaux,2012,208,7,23.1105,0.79205,62.86076924,400,1.1,-0.05,,
Bordeaux,2012,208,8,26.0385,0.66825,206.635,400,1.1,-0.05,,
Bordeaux,2012,208,9,30.054,0.5179,465.7019231,400,1.1,-0.05,,
Bordeaux,2012,208,10,33.145,0.4704,680.7519231,400,1.1,-0.05,,
Bordeaux,2012,208,11,34.355,0.43,988.2230769,400,1.1,-0.05,,
Bordeaux,2012,208,12,36.1615,0.35735,1938.686539,400,1.1,-0.05,,
Bordeaux,2012,208,13,37.7395,0.31215,1480.536539,400,1.1,-0.05,,
Bordeaux,2012,208,14,37.0605,0.3338,1030.298077,400,1.1,-0.05,,
Bordeaux,2012,208,15,37.953,0.31045,1853.438274,400,1.1,-0.05,,
Bordeaux,2012,208,16,38.705,0.28575,1271.275627,400,1.1,-0.05,,
