date,reserve_pool,value_mgC_plant,uuid,CropLoad,crop_load_label,simulation_day,days_after_full_bloom,dayOfYear,reserve_pool_label,value_gC_plant,aggregation,unit_conversion
2021-12-05,trunkNSC,58762.16556629098,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,14,47,339,Trunk NSC,58.76216556629098,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-05,totalNSC,1326480.8608245794,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,14,47,339,Whole-tree NSC reserve,1326.4808608245794,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-12-06,leafNSC,149461.19169081506,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,15,48,340,Leaf NSC,149.46119169081507,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-06,fineRootNSC,94468.66238636883,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,15,48,340,Fine-root NSC,94.46866238636883,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-06,structuralRootNSC,264576.0420161565,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,15,48,340,Structural-root NSC,264.57604201615646,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-06,internodeNSC,820119.1336785536,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,15,48,340,Total internode NSC reserve,820.1191336785537,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-06,cordonNSC,730465.5430122542,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,15,48,340,Cordon NSC,730.4655430122542,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-06,trunkNSC,58851.55829650307,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,15,48,340,Trunk NSC,58.85155829650307,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-06,totalNSC,1328625.029771894,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,15,48,340,Whole-tree NSC reserve,1328.6250297718939,daily_mean,"daily mean sum of non-overlapping plant NSC pools in mg C plant^-1, divided by 1000; cordonNSC and trunkNSC are already included in internodeNSC"
2021-12-07,leafNSC,149081.1599407302,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,16,49,341,Leaf NSC,149.0811599407302,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-07,fineRootNSC,94565.48705568703,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,16,49,341,Fine-root NSC,94.56548705568703,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
2021-12-07,structuralRootNSC,264639.7240852256,9ca2bf8b-c639-48c1-a98f-bbc84bb43b73,0,0 fruits,16,49,341,Structural-root NSC,264.6397240852256,daily_mean,"daily mean of plant NSC pool in mg C plant^-1, divided by 1000"
